Confabulario|Arreola, Juan José|Fondo de Cultura Económica|1961|Antología
Obras Completas|Azuela, Mariano|Fondo de Cultura Económica|1916|Antología
El Porvenir de mi Pasado|Benedetti, Mario|Punto de Lectura|2003|Antología
Llamadas telefónicas|Bolaño, Roberto|Anagrama|1997|Antología
Obras Maestras|Camus, Albert|Editores Mexicanos Unidos|1942|Antología
Música para camaleones|Capote, Truman|Bruguera|1980|Antología
Novelas Ejemplares|Cervantes, Miguel de|Porrúa|1590|Antología
The Sherlock Holmes Mysteries|Conan Doyle, Sir Arthur|Signet|1887|Antología
Ahí y ahora: los relatos|Cortázar, Julio|Alianza|1985|Antología
Azul… Cantos de vida y esperanza|Darío, Rubén|Ateneo-México|1888|Antología
El Jugador - Crimen y Castigo|Dostoyevski, Fedor|Credsa|1866|Antología
Antología de Cuentos|Estrella Gutierrez, Fermín|Fondo de Cultura Económica|1970|Antología
Obras Maestras|Flaubert, Gustave|Credsa|1856|Antología
Los Funerales de la Mamá Grande|García Márquez, Gabriel|Diana|1962|Antología
Les Funérailles de la Grande Mémé - Los Funerales de la Mamá Grande|García Márquez, Gabriel|Grasset|1962|Antología
La ley de Herodes|Ibargüengoitia, Jorge|Joaquin Mortiz|1967|Antología
La Metamorfosis - Informe para una Academia|Kafka, Franz|Edimat|1915|Antología
El castillo - La muralla china|Kafka, Franz|Promociones Editoriales Mexicanas|1926|Antología
Las Crónicas de Narnia - Obra Completa|Lewis, C. S.|Destino|1950|Antología
El Cuento Hispanoamericano|Menton, Seymour|Fondo de Cultura Económica|1964|Antología
Lecturas Literarias|Nervo, Amado|Patria|1939|Antología
Para nacer he nacido|Neruda, Pablo|Bruguera|1978|Antología
El principio del placer|Pacheco, José Emilio|Era|1972|Antología
Complete Stories and Poems|Poe, Edgar Allan|Doubleday|1827|Antología
Dormir en Tierra|Revueltas, José|Era|1960|Antología
La Cena y Otras Historias|Reyes, Alfonso|Fondo de Cultura Económica|1963|Antología
La Felicidad es un Arma Caliente|Ruiz Velazco, Victor|Animal de Invierno|2013|Antología
Un Reino Lejano|Silva y Aceves, Mariano|Fondo de Cultura Económica|1987|Antología
Cuentos Escogidos|Tolstoi, León|Porrúa|1989|Antología
El Libro de la Imaginación|Valades, Edmundo|Fondo de Cultura Económica|1976|Antología
Cuentos Escogidos|Voltaire|Bruguera|1720|Antología
Bob Dylan 2|Antolín, Mariano|Rato|1975|Biografía
Marco Polo|Collis, Maurice|Fondo de Cultura Económica|1950|Biografía
Vivir para contarla|García Márquez, Gabriel|Diana|2002|Biografía
Roosevelt, the Soldier of Freedom|McGregor Burns, James|Harcourt Brace Jovanovich|1970|Biografía
Santa Anna: el dictador resplandeciente|Muñoz, Rafael F.|Fondo de Cultura Económica|1936|Biografía
Fouché: El Genio Tenebroso|Zweig, Stefan|Porrúa|1929|Biografía
María Antonieta|Zweig, Stefan|Drake|1932|Biografía
A ninguna de las tres - El torneo - Ana Bolena - Hermán o la vuelta del cruzado|Calderón, Fernando|Porrúa|2004|Drama
Entremeses|Cervantes, Miguel de|Espasa-Calpe|1615|Drama
El Sí de las Niñas - La Comedia Nueva o el Café|Fernandez de Moratín, Leandro|Editores Mexicanos Unidos|1806|Drama
Fausto|Goethe, J. W.|Cátedra|1832|Drama
Conversaciones Imaginarias|Landor, Walter Savage|Catedra|1824|Drama
La Celestina|Rojas, Fernando de|Porrúa|1499|Drama
Hamlet - Penas por amor perdidas - Los dos hidalgos de Verona - Sueño de una noche de verano - Romeo y Julieta|Shakespeare, William|Porrúa|1597|Drama
Eichmann y el Holocausto|Arendt, Hannah|Taurus|1963|Expositivo
Administración de Recursos Humanos|Arias Galicia, Fernando|Trillas|1973|Expositivo
El Mundo Mítico de Gabriel García Márquez|Arnau, Carmen|Península|1971|Expositivo
Las Moradas del Castillo Interior|Ávila, Teresa de|Bruguera|1588|Expositivo
101 Stories of the Great Ballets|Balanchine, George and Francis Mason|Doubleday|1975|Expositivo
Configuraciones y Significaciones|Bañuelos Ávila, Irma Angélica, et al|Acento|2014|Expositivo
El segundo sexo|Beauvoir, Simone de|DeBolsillo|1949|Expositivo
El proceso de comunicación|Berlo, David K.|El Ateneo|1960|Expositivo
Bescherelle college|Bortolussi, Maríe-Pierre|Itatier|2007|Expositivo
Señas Particulares: Escritora|Bradu, Fabienne|Fondo de Cultura Económica|1987|Expositivo
Guía de Estudio Efectivo|Brown, William F.|Trillas|1970|Expositivo
Protagonistas de la literatura mexicana|Carballo, Emmanuel|Ediciones del Ermitaño|1986|Expositivo
Mujer que sabe latín|Castellanos, Rosario|Fondo de Cultura Económica|1984|Expositivo
Venciendo la Resistencia al Cambio|Coch, Lester, et al.|Trillas|1953|Expositivo
La Generación Beat|Cook, Bruce|Ariel|1971|Expositivo
De la gramatología|Derrida, Jacques|Siglo Veintiuno|1967|Expositivo
El Discurso del Método|Descartes, René|Bruguera|1637|Expositivo
Obra Abierta|Eco, Umberto|Ariel|1962|Expositivo
Apocalípticos e Integrados|Eco, Umberto|TusQuets|1968|Expositivo
La estructura ausente|Eco, Umberto|DeBolsillo|1968|Expositivo
Cómo se hace una tesis|Eco, Umberto|Gedisa|1977|Expositivo
Cuaderno de escritura|Elizondo, Salvador|Fondo de Cultura Económica|1969|Expositivo
El Papel del Trabajo en la Transformación del Mono en Hombre|Engels, Federico|Cultura Popular|1988|Expositivo
Educación e ideología en el México Antiguo|Escalante, Pablo|El Caballito|1985|Expositivo
Paulo Freire y la Educación Liberadora|Escobar G., Miguel|Ediciones el Caballito|1985|Expositivo
La Educación del Hombre|Froebel, Federico|D. Appleton y Compañía|1885|Expositivo
El Arte de Amar|Fromm, Enrich|Paidós|1956|Expositivo
Lecciones Preliminares de Filosofía|García Morente, Manuel|Diana|1954|Expositivo
Lógica Formal y Dialéctica|García Lopez, J. Jesus|J. Jesus García Lopez|1993|Expositivo
Filosofía y Ciencia Trascendental|García Lopez, J. Jesus|J. Jesus García Lopez|1994|Expositivo
Crítica de la razón pura|Kant, Immanuel|Losada|1781|Expositivo
Fundamentación de la Metafísica de las Costumbres - Crítica de la Razón Práctica - La Paz Perpetua|Kant, Immanuel|Porrúa|1785|Expositivo
La Presidencia Imperial|Krauze, Enrique|Tusquets|1997|Expositivo
Leer y escribir en la escuela|Lerner, Delia|SEP|2001|Expositivo
Abuelas queridas, ¡que vivan sus derechos!|Loaeza, Guadalupe, et al.|Endira|2012|Expositivo
De Escritores, Poetas y Locos|Montes de Oca Sicilia, Maria del Pilar, et al.|Lectorum|2009|Expositivo
México ante Dios|Moreno, Francisco Martín|Alfaguara|2006|Expositivo
La amenaza del Japón a las Américas|Naft, Stephen|División de Radio de la Oficina del Coordinador e Asuntos Inter-americanos|1943|Expositivo
Summerhill|Neill, A. S.|Fondo de Cultura Económica|1960|Expositivo
La rebelión de las masas|Ortega y Gasset, José|Espasa-Calpe|1937|Expositivo
El chino y el maya: estudio de relación y de creación|Ortega Villaseñor, Humberto|Universidad de Guadalajara|2008|Expositivo
El País - Libro de Estilo|País, El|El País|2007|Expositivo
El Laberinto de la soledad|Paz, Octavio|Fondo de Cultura Económica|1950|Expositivo
Tiempo Nublado|Paz, Octavio|Seix Barral|1983|Expositivo
Historia de México|Peña Razo, Juan|Universidad de Guadalajara|1975|Expositivo
Cuahutémoc - Vida y muerte de una cultura|Pérez Martínez, Héctor|Espasa-Calpe|1948|Expositivo
Seis Estudios de Psicología|Piaget, Jean|Seix Barral|1964|Expositivo
Los Pobres en la Prosa Mexicana|Pogolotti, Marcelo|Diogenes|1978|Expositivo
El perfil del hombre y la cultura en México|Ramos, Samuel|Espasa Calpe|1934|Expositivo
La escuela rural|Ramírez Michel, Rafael|SEP|1981|Expositivo
Fausto, el hombre|Reuter, Jas|Fondo de Cultura Económica|1985|Expositivo
La Experiencia Literaria y Otros Ensayos|Reyes, Alfonso|Fundación Santander|1955|Expositivo
Visión de Anahuac y otros ensayos|Reyes, Alfonso|Fondo de Cultura Económica|1983|Expositivo
Prototipos Textuales|Reyes, José|Acento|2013|Expositivo
Manual de Juegos|Rinderknecht, Patricia, et al.|Bonum|1976|Expositivo
Psicotecnica Pedagógica - Teoria y Práctica|Rodriguez Riveras, Victor Matias|Porrúa|1972|Expositivo
El Contrato Social|Rousseau, Jean-Jacques|Tomo|1762|Expositivo
Conocimiento y Causa|Russell, Bertrand|Paidós|1910|Expositivo
Los caminos de la libertad|Russell, Bertrand|Orbis|1918|Expositivo
La Perpectiva Científica|Russell, Bertrand|Sarpe|1949|Expositivo
El existencialismo es un humanismo|Sartre, Jean Paul|Quinto Sol|1945|Expositivo
Ética para amador|Savater, Fernando|Ariel|1991|Expositivo
La riqueza de las naciones|Smith, Adam|Alianza|1776|Expositivo
Como hacer una tesis|Taborga, Huáscar|Grijalbo|1980|Expositivo
Historia de México|Toro, Alfonso|Patria|1929|Expositivo
Curso Elemental de Psicología|Velázquez, José M.|Cia. General de Editores|1977|Expositivo
The Outline of History|Wells, H. G.|Garden City Publishing|1920|Expositivo
La Imaginación Sociológica|Wright Mills, C.|Fondo de Cultura Económica|1959|Expositivo
Un Placer Fugaz: Correspondencia|Capote, Truman|DeBolsillo|2004|Epistolar
Cartas a Theo|Gogh, Vincent van|Tomo|1914|Epistolar
Lettres Retrouvés|Proust, Marcel|Plon|1966|Epistolar
Little Women|Alcott, Louisa May|Aladdin|1868|Narrativa
El Sol Desnudo|Asimov, Isaac|Orbis|1957|Narrativa
La Invitada|Beauvoir, Simone de|Hermes|1943|Narrativa
Fahrenheit 451|Bradbury, Ray|Simon & Schuester|1951|Narrativa
Angels & Demons|Brown, Dan|Simon & Schuester|2000|Narrativa
El Código da Vinci|Brown, Dan|Umbriel|2004|Narrativa
El Extranjero|Camus, Albert|Alianza Emecé|1942|Narrativa
Balún-Canán|Castellanos, Rosario|SEP/UNAM|1957|Narrativa
Oficio de Tinieblas|Castellanos, Rosario|Promociones Editoriales Mexicanas|1979|Narrativa
Don Quijote de la Mancha|Cervantes, Miguel de|Asociación de Academias de la Lengua Española|1605|Narrativa
Cards on the Table|Christie, Agatha|Dell B.|1936|Narrativa
A Christmas Carol|Dickens, Charles|Longman|1843|Narrativa
Momo|Ende, Michael|Salvat/Alfaguara|1973|Narrativa
Como agua para chocolate|Esquivel, Laura|Planeta|1989|Narrativa
El periquillo sarniento|Fernández de Lizarde, José Joaquín|Porrúa|1816|Narrativa
Madame Bovary|Flaubert, Gustave|Flammarion|1856|Narrativa
Chacal|Forsyth, Frederick|G. F.|1971|Narrativa
Aura|Fuentes, Carlos|Era|1962|Narrativa
La Muerte de Artemio Cruz|Fuentes, Carlos|Punto de Lectura|1962|Narrativa
Santa|Gamboa, Federico|Porrúa|2013|Narrativa
Isabel viendo llover en Macondo|García Márquez, Gabriel|Estuario|1955|Narrativa
El coronel no tiene quien le escriba|García Márquez, Gabriel|Sudamericana|1961|Narrativa
Cien Años de Soledad|García Márquez, Gabriel|Asociación de Academias de la Lengua Española|1967|Narrativa
El Otoño del Patriarca|García Márquez, Gabriel|Plaza & Janes|1975|Narrativa
Noticia de un secuestro|García Márquez, Gabriel|Diana|1996|Narrativa
